[2016-12-13 10:14:30] ShadowsocksR started on port 2046
[2016-12-13 10:14:43] [Error]connect to update server error
[2016-12-13 10:18:54] [Warn]Proxy server [app.arukas.io(seaof-153-125-231-179.jp-tokyo-02.arukascloud.io)] connection refused
[2016-12-13 10:18:56] [Warn]Proxy server [app.arukas.io(seaof-153-125-231-179.jp-tokyo-02.arukascloud.io)] connection refused
[2016-12-13 10:19:00] [Warn]Proxy server [app.arukas.io(seaof-153-125-231-179.jp-tokyo-02.arukascloud.io)] connection refused
[2016-12-13 10:19:08] [Warn]Proxy server [app.arukas.io(seaof-153-125-231-179.jp-tokyo-02.arukascloud.io)] connection refused
[2016-12-13 10:19:09] [Warn]Proxy server [app.arukas.io(seaof-153-125-231-179.jp-tokyo-02.arukascloud.io)] connection refused
[2016-12-13 10:19:10] [Warn]Proxy server [app.arukas.io(seaof-153-125-231-179.jp-tokyo-02.arukascloud.io)] connection refused
[2016-12-13 10:19:11] [Warn]Proxy server [app.arukas.io(seaof-153-125-231-179.jp-tokyo-02.arukascloud.io)] connection refused
[2016-12-13 10:19:18] [Warn]Proxy server [app.arukas.io(seaof-153-125-231-179.jp-tokyo-02.arukascloud.io)] connection refused
[2016-12-13 10:19:20] [Warn]Proxy server [app.arukas.io(seaof-153-125-231-179.jp-tokyo-02.arukascloud.io)] connection refused
[2016-12-13 10:19:21] [Warn]Proxy server [app.arukas.io(seaof-153-125-231-179.jp-tokyo-02.arukascloud.io)] connection refused
[2016-12-13 10:19:22] [Warn]Proxy server [app.arukas.io(seaof-153-125-231-179.jp-tokyo-02.arukascloud.io)] connection refused
[2016-12-13 10:19:25] [Warn]Proxy server [app.arukas.io(seaof-153-125-231-179.jp-tokyo-02.arukascloud.io)] connection refused
[2016-12-13 10:19:27] [Warn]Proxy server [app.arukas.io(seaof-153-125-231-179.jp-tokyo-02.arukascloud.io)] connection refused
[2016-12-13 10:19:30] [Warn]Proxy server [app.arukas.io(seaof-153-125-231-179.jp-tokyo-02.arukascloud.io)] connection refused
[2016-12-13 10:19:35] [Warn]Proxy server [app.arukas.io(seaof-153-125-231-179.jp-tokyo-02.arukascloud.io)] connection refused
[2016-12-13 10:19:37] [Warn]Proxy server [app.arukas.io(seaof-153-125-231-179.jp-tokyo-02.arukascloud.io)] connection refused
[2016-12-13 10:19:38] [Warn]Proxy server [app.arukas.io(seaof-153-125-231-179.jp-tokyo-02.arukascloud.io)] connection refused
[2016-12-13 10:19:42] [Warn]Proxy server [app.arukas.io(seaof-153-125-231-179.jp-tokyo-02.arukascloud.io)] connection refused
[2016-12-13 10:19:42] [Warn]Proxy server [app.arukas.io(seaof-153-125-231-179.jp-tokyo-02.arukascloud.io)] connection refused
[2016-12-13 10:19:44] [Warn]Proxy server [app.arukas.io(seaof-153-125-231-179.jp-tokyo-02.arukascloud.io)] connection refused
[2016-12-13 10:19:50] [Error]connect to update server error
[2016-12-13 10:19:53] [Warn]Proxy server [app.arukas.io(seaof-153-125-231-179.jp-tokyo-02.arukascloud.io)] connection refused
[2016-12-13 10:19:53] [Warn]Proxy server [app.arukas.io(seaof-153-125-231-179.jp-tokyo-02.arukascloud.io)] connection refused
[2016-12-13 10:19:54] [Warn]Proxy server [app.arukas.io(seaof-153-125-231-178.jp-tokyo-02.arukascloud.io)] connection refused
[2016-12-13 10:19:55] [Warn]Proxy server [app.arukas.io(seaof-153-125-231-178.jp-tokyo-02.arukascloud.io)] connection refused
[2016-12-13 10:19:56] [Warn]Proxy server [app.arukas.io(seaof-153-125-231-179.jp-tokyo-02.arukascloud.io)] connection refused
[2016-12-13 10:19:56] [Warn]Proxy server [app.arukas.io(seaof-153-125-231-179.jp-tokyo-02.arukascloud.io)] connection refused
[2016-12-13 10:19:56] [Warn]Proxy server [app.arukas.io(seaof-153-125-231-178.jp-tokyo-02.arukascloud.io)] connection refused
[2016-12-13 10:19:57] [Warn]Proxy server [app.arukas.io(seaof-153-125-231-178.jp-tokyo-02.arukascloud.io)] connection refused
[2016-12-13 10:19:57] [Warn]Proxy server [app.arukas.io(seaof-153-125-231-178.jp-tokyo-02.arukascloud.io)] connection refused
[2016-12-13 10:19:59] [Warn]Proxy server [app.arukas.io(seaof-153-125-231-178.jp-tokyo-02.arukascloud.io)] connection refused
[2016-12-13 10:20:00] [Warn]Proxy server [app.arukas.io(seaof-153-125-231-178.jp-tokyo-02.arukascloud.io)] connection refused
[2016-12-13 10:20:01] [Warn]Proxy server [app.arukas.io(seaof-153-125-231-178.jp-tokyo-02.arukascloud.io)] connection refused
[2016-12-13 10:20:02] [Warn]Proxy server [app.arukas.io(seaof-153-125-231-178.jp-tokyo-02.arukascloud.io)] connection refused
[2016-12-13 10:20:02] [Warn]Proxy server [app.arukas.io(seaof-153-125-231-178.jp-tokyo-02.arukascloud.io)] connection refused
[2016-12-13 10:20:03] [Warn]Proxy server [app.arukas.io(seaof-153-125-231-178.jp-tokyo-02.arukascloud.io)] connection refused
[2016-12-13 10:20:07] [Warn]Proxy server [app.arukas.io(seaof-153-125-231-178.jp-tokyo-02.arukascloud.io)] connection refused
[2016-12-13 10:20:07] [Warn]Proxy server [app.arukas.io(seaof-153-125-231-178.jp-tokyo-02.arukascloud.io)] connection refused
[2016-12-13 10:20:07] [Warn]Proxy server [app.arukas.io(seaof-153-125-231-178.jp-tokyo-02.arukascloud.io)] connection refused
[2016-12-13 10:20:08] [Warn]Proxy server [app.arukas.io(seaof-153-125-231-178.jp-tokyo-02.arukascloud.io)] connection refused
