[2017-02-01 21:40:57] ShadowsocksR started on port 2046
[2017-02-01 21:41:15] [Warn] Proxy server [app.arukas.io(seaof-153-125-235-212.jp-tokyo-15.arukascloud.io)] connection refused
[2017-02-01 21:41:16] [Warn] Proxy server [app.arukas.io(seaof-153-125-235-212.jp-tokyo-15.arukascloud.io)] connection refused
[2017-02-01 21:41:17] [Warn] Proxy server [app.arukas.io(seaof-153-125-235-212.jp-tokyo-15.arukascloud.io)] connection refused
[2017-02-07 18:05:45] ShadowsocksR started on port 2046
[2017-02-07 18:07:15] [Warn] Proxy server [app.arukas.io(seaof-153-125-232-145.jp-tokyo-03.arukascloud.io)] connection refused
[2017-02-07 18:07:23] [Warn] Proxy server [app.arukas.io(seaof-153-125-232-145.jp-tokyo-03.arukascloud.io)] connection refused
[2017-02-07 18:07:27] [Warn] Proxy server [app.arukas.io(seaof-153-125-232-145.jp-tokyo-03.arukascloud.io)] connection refused
[2017-02-07 20:24:59] ShadowsocksR started on port 2046
[2017-02-07 20:25:11] [Warn] Proxy server [app.arukas.io(seaof-153-125-232-145.jp-tokyo-03.arukascloud.io)] connection refused
[2017-02-07 23:44:48] [Warn] Proxy server [app.arukas.io(seaof-153-125-232-145.jp-tokyo-03.arukascloud.io)] connection refused
[2017-02-07 23:44:48] [Warn] Proxy server [app.arukas.io(seaof-153-125-232-145.jp-tokyo-03.arukascloud.io)] connection refused
[2017-02-07 23:44:49] [Warn] Proxy server [app.arukas.io(seaof-153-125-232-145.jp-tokyo-03.arukascloud.io)] connection refused
[2017-02-08 09:30:38] [Error] connect to update server error
[2017-02-08 09:30:38] ShadowsocksR started on port 2046
[2017-02-08 18:18:48] [Info] Proxy server [app.arukas.io(seaof-59-106-238-236.jp-tokyo-07.arukascloud.io)] HostUnreachable:套接字操作尝试一个无法连接的主机。 59.106.238.236:31230
[2017-02-08 18:18:48] [Info] Proxy server [app.arukas.io(seaof-153-125-232-145.jp-tokyo-03.arukascloud.io)] HostUnreachable:套接字操作尝试一个无法连接的主机。 153.125.232.145:31673
[2017-02-08 18:18:48] [Info] Proxy server [app.arukas.io(seaof-59-106-238-236.jp-tokyo-07.arukascloud.io)] HostUnreachable:套接字操作尝试一个无法连接的主机。 59.106.238.236:31230
[2017-02-08 18:18:49] [Info] Proxy server [app.arukas.io(seaof-153-125-232-145.jp-tokyo-03.arukascloud.io)] HostUnreachable:套接字操作尝试一个无法连接的主机。 153.125.232.145:31673
